line_id,summary,question,answer,is_hallucination
301,"Би́тва при Хероне́е (86 год до н. э.) — сражение в Греции под селением Херонея в Беотии, в ходе которого римский консул Сулла разгромил понтийского царя Митридата VI. Описание битвы есть в трёх древних текстах, хотя и слегка отличается: в «Митридатовой войне» Аппиана (разделы 42—43), в «Стратегемах» Фронтина (книга 2, глава 3.17) и в жизнеописании Суллы Плутарха (главы 17—19).",Кем был побеждён Митридат VI?,Митридат VI победил в битве при Херонеи.,1
302,"Миф об использовании мозга на 10 % — мнение (миф, городская легенда) о том, что большинство людей используют не более 10 % мозга (в других вариантах легенды — 15 %, 7 %, 5 % и так далее). Утверждение «люди используют только 10 % их мозга» используется в науке как пример «неправильного представления о психологии» или «нейромифа». Организация экономического сотрудничества и развития также оценивает данное утверждение как «нейромиф». Бездоказательно приписывается различным людям, в частности Альберту Эйнштейну. Также заявляется, что люди могут увеличить свою мозговую активность за счёт задействования «неиспользуемой» части мозга, что составляет сюжет многочисленных фантастических произведений. Под «неиспользуемой» частью мозга может пониматься также потенциальные возможности мозга, однако и в такой версии утверждение о том, что люди используют 10% (потенциальных) возможностей мозга, не поддерживается научным сообществом и описывается в научных работах как миф или заблуждение. Интеллект действительно можно развивать при помощи упражнений, но сама мысль о том, что люди используют только часть мозга, неверна. По современным данным, каждая часть мозга имеет определённую функцию. Исследования не выявили областей мозга, которые бы не использовались.",Сколько процентов мозга обычно используют среднестатистические люди?,30 % мозга.,1
303,"Ама́нда Куртович (хорв. Amanda Kurtović; род. 25 июля 1991, Карлскруна, Швеция) — норвежская гандболистка хорватско-шведского происхождения, олимпийская чемпионка 2012 года, двукратная чемпионка мира, чемпионка Европы среди юниоров.",Когда проходил чемпионат мира по гандболу среди женщин?,В 2012 году.,1
304,"Фарра, Фара, Фараг, Тэрах (ивр. ‏תֶּרַח / תָּרַח‏‎ тарах «шествие, путешествие, медление, медлитель») — библейский, ветхозаветный персонаж из потомства Симова (старшего сына Ноя), сын Нахора, сына Серуха, десятый патриарх после Ноя. Отец Авраама, Арана, Нахора и Сарры. В исламе известен как Тарух либо отождествляемый с ним Азар.",Как звали отца Авраама?,Арана,0
305,"Кэсседи Блэйк Поуп (англ. Cassadee Blake Pope, 28 августа 1989 года, Уэст-Палм-Бич, Флорида) — американская певица, автор песен. Вокалистка американской поп-панк группы «Hey Monday» (с 2007 года). С группой она записала 1 полноценный альбом ""Hold on Tight"" и 3 EP. Она начала сольную карьеру после сообщения о перерыве Hey Monday в декабре 2011. В начале 2012 года она съездила в свой первый сольный тур. Она стала первой девушкой, выигравшей шоу The Voice (U.S. TV_series)",Как называется первый диск певицы?,Hold on tight,0
306,"Обервезер (нем. Oberweser) — коммуна в Германии, в земле Гессен. Подчиняется административному округу Кассель. Входит в состав района Кассель.  Население составляет 3336 человек (на 31 декабря 2010 года). Занимает площадь 41,16 км². Официальный код — 06 6 33 021.",Какой код имеет обервезер?,0,0
307,"Осада Никомедии проходила в период с 1333 по 1337 года, и осуществлялась османскими турками под руководством Орхана I.",Под чьим командованием находились турки во время осады?,Орхана,0
308,"Вооружённые силы Французской Республики — формирование Французской Республики, созданное для вооружённой защиты её интересов и территорий, в том числе и заморских. В целом, Франция является одной из немногих стран, в составе вооружённых сил которой есть почти полный спектр современных вооружений и военной техники собственного производства — от стрелкового оружия до ударных атомных авианосцев (которые, кроме Франции, есть только у США).",Какое оружие есть в вооружении французской армии?,В вооружении французской армии есть только стрелковое оружие.,1
309,"«История и памятники Византийской эмали: Из собрания А. В. Звенигородского» (1892) — искусствоведческая монография и научный комментарий к собранию византийских эмалей петербургского мецената и коллекционера Александра Звенигородского, написанная византинистом и историком искусств Никодимом Павловичем Кондаковым. Входит в число самых дорогих книг в истории русского книгопечатания и является «венцом» русского стиля в книгоиздании. В историю европейского книгопечатания «Византийские эмали» вошли как «русское чудо» и «книга в княжеском уборе». Как научная работа, это сочинение Н. П. Кондакова по объёму информации и изложению сохраняет свою ценность и актуальность.",В числе каких книг оно входит?,самых дорогих,0
310,"Иво́нн Са́гден (англ. Yvonne Sugden; род. 14 октября 1939 г. Амершем, Великобритания), полное имя — Ивонн Сагден де Монфор (Yvonne Sugden de Monfort) — британская фигуристка, выступавшая в одиночном катании, неоднократный призёр чемпионатов Европы, трёхкратная чемпионка своей страны. Она представляла Великобританию на Олимпийских играх 1956 года, где заняла 4-е место. На чемпионатах мира фигуристка обычно попадала в десятку лидеров (за исключением своего первого чемпионата в 1951 году), но никогда не завоёвывала медалей.",Куда она попадала после своих побед на Олимпиадах?,После своих побед на Олимпиадах Ивонн Сагден попадала в пятёрку лидеров.,1
311,"«Клиент — сервер» (англ. client–server) — вычислительная или сетевая архитектура, в которой задания или сетевая нагрузка распределены между поставщиками услуг, называемыми серверами, и заказчиками услуг, называемыми клиентами. Фактически клиент и сервер — это программное обеспечение. Обычно эти программы расположены на разных вычислительных машинах и взаимодействуют между собой через вычислительную сеть посредством сетевых протоколов, но они могут быть расположены также и на одной машине. Программы-серверы ожидают от клиентских программ запросы и предоставляют им свои ресурсы в виде данных (например, загрузка файлов посредством HTTP, FTP, BitTorrent, потоковое мультимедиа или работа с базами данных) или в виде сервисных функций (например, работа с электронной почтой, общение посредством систем мгновенного обмена сообщениями или просмотр web-страниц во всемирной паутине). Поскольку одна программа-сервер может выполнять запросы от множества программ-клиентов, её размещают на специально выделенной вычислительной машине, настроенной особым образом, как правило, совместно с другими программами-серверами, поэтому производительность этой машины должна быть высокой. Из-за особой роли такой машины в сети, специфики её оборудования и программного обеспечения, её также называют сервером, а машины, выполняющие клиентские программы, соответственно, клиентами.","Как именуются компьютеры, которые используются для предоставления услуг?","Компьютеры, которые используются для предоставления услуг, называются «клиенты».",1
312,"Пьетро Сени (итал. Pietro Seni, 1841, Рим — декабрь 1909) — итальянский шахматист, первый неофициальный чемпион Италии. Инженер по профессии.",Когда он умер?,В декабре 1910 года.,1
313,"«Сакура-пресс» — российское издательство, лицензировавшее и издававшее японскую мангу на территории СНГ. Это первое издательство, основанное для лицензионного издания манги в России и начавшее свою деятельность с издания перевода «Ранмы ½», первые два тома вышли в апреле 2005 года. Вся манга публиковалась в зеркальном отражении («отзеркаливалась»), за что подвергалась критике со стороны фанатов. В 2011-ом году прекратило выпуск манги и обновление сайта. Согласно онлайн ресурсам ООО ИЗДАТЕЛЬСКИЙ ДОМ «САКУРА-ПРЕСС» юридически был ликвидирован 21.11.2016.","Как назывался первый издательский дом, основанный в России, который занимался изданием манги?",Сакура-Пресс,0
314,"Бернский карнавал — традиционный праздник, ежегодно проходящий в Швейцарии и посвященный проводам зимы. Карнавал начинается в четверг и проходит в течение трех дней, в феврале. Считается, что от шума карнавала просыпается от зимней спячки медведь.",Какой музыкальный инструмент начинает свой танец на карнавале?,медведь,0
315,"Шамар Абдумуратов (узб. Шамар Абдумуродов; род. 1928 год, Акмачит Сурхан-Дарьинский округ, Узбекская ССР , Туркестанский край) — старший чабан госплемзавода «Кабадиан» Шаартузского района Таджикской ССР. Герой Социалистического Труда (1973). Депутат Верховного Совета Таджикской ССР 9-го созыва.",В каком году был награждён орденом Трудового Красного Знамени?,1973,0
316,"Пресс-секретарь президента Российской Федерации — федеральный государственный гражданский служащий, выполняющий непосредственное руководство работой пресс-службы президента. В настоящее время руководителем пресс-службы президента России является Дмитрий Песков (с 22 мая 2012 года). Пресс-секретарь президента является официальным голосом президента, представляющим его позицию, а также позицию Кремля в отношении различных событий, и осуществляющим связь со средствами массовой информации.",Кто является заместителем председателя правительства Российской Федерации?,Дмитрий Песков.,1
317,"«Moses» — песня американского рэпера French Montana. Она была выпущена 21 августа 2015 в качестве второго сингла с его девятнадцатого микстейпа Casino Life 2 на лейблах Bad Boy Records и Interscope Records. «Moses» был спродюсирован Southside, TM88, DJ Spinz и K-Major и включает в себя вокалы от Криса Брауна и Migos.",Что было записано при участии французского музыканта?,песня Moses,0
318,"«Последнее желание» (польск. Ostatnie życzenie) — сборник рассказов писателя Анджея Сапковского в жанре фэнтези, объединённых общим персонажем — ведьмаком Геральтом из Ривии. Это первое произведение из цикла «Ведьмак» как по хронологии, так и по времени написания. От первого издания в виде книги «Ведьмак» «Последнее желание» отличается связующей серией интерлюдий «Глас рассудка» и наличием рассказов «Последнее желание» и «Край света».",Как называется книга из цикла о Геральте?,«Край света».,1
319,"«Чужие здесь не ходят» — советский приключенческий фильм режиссёров Анатолия Вехотко и Романа Ершова, снятый по мотивам повести А. Ромова «Соучастник».","Как называется книга, по мотивам которой снят фильм?",Соучастник,0
320,"New Look (с англ. — «новый облик») — элегантный, женственный, романтичный стиль одежды, предложенный Кристианом Диором в 1947 году. Представляет образ «идеальной женщины» с тонкой талией, хрупкими плечами, изящными бёдрами. Для New Look характерны конкретность формы моделей (три ведущих силуэта: «широкий клешёный», «овальный», «прямой»), тщательный подбор аксессуаров.",В каком году предложили новый облик женский стиль одежды?,1957,1
321,"RetroShare — свободное кроссплатформенное программное обеспечение для бессерверного обмена письмами, мгновенными сообщениями и файлами с помощью шифрованной F2F-/P2P-сети, построенной на основе алгоритмов GPG. Криптоплатформа RetroShare относится к классу darknet-сетей, топология которых подразумевает осуществление соединений и обмен данными лишь с определёнными участниками сети и исключает как внешние контакты, так и непосредственные контакты с другими участниками, не входящими в окружение пользователя. IP-адреса участников криптосети недоступны друг другу, за исключением ограниченного круга участников. Для передачи данных используется собственный протокол передачи, где элементом адресации пакета является не IP-адрес, а 128-битное случайное число — анонимный идентификатор. За пределами личного окружения установить IP-адреса участников принципиально невозможно, в связи с чем даже простой подсчёт количества участников тёмной сети представляет собой нетривиальную задачу. Любая файлообменная и коммуникационная деятельность анонимна, в том числе если обмен пакетами ведётся с участником из ближнего окружения. В связи с применением сквозного шифрования данных, промежуточные узлы не имеют возможности определить характер и содержание передаваемого трафика. Все соединения с удалёнными участниками (пирами), не входящими в ближнее окружение, осуществляются посредством одной или нескольких независимых цепочек анонимных туннелей, прокладываемых между узлами сети. Соединение между участниками устанавливается путём обмена GPG-сертификатами, содержащими 2048-, 3072- или 4096-битный публичный ключ. Указанная топология сети вкупе с сильным шифрованием обеспечивает децентрализацию и анонимизацию обмена данными между участниками.",На основе каких алгоритмов построена сеть Retro Share?,Алгоритмов GPG и сквозного шифрования данных.,1
322,"Господня армия сопротивления (ЛРА или LRA, Lord’s Resistance Army) — угандийская националистическая повстанческая группировка. Рекрутирует своих солдат из представителей народности ачоли. Также рассматривается как деструктивная секта. Основана Джозефом Кони, объявившим себя пророком и гласом Святого Духа, моральным преемником Элис Лаквены, присвоившим себе титул генерал-майора. Вторым человеком в армии некоторое время являлся Винсент Отти (англ. Vincent Otti), который, по некоторым сведениям, был казнен Джозефом Кони 2 октября 2007 года. Группировка действует с 1987 года, сражаясь против правительства Мусевени за установление в Уганде теократического режима, основанного на 10 библейских заповедях. Сперва группировка носила название «угандийская народно-демократическая христианская армия», затем сменила его на «угандийская христианско-демократическая армия», с 1991—1992 движение носит своё современное имя (ГАС). В идеологии организации элементы христианского учения сочетаются с традиционными африканскими верованиями. Предположительно базы и опорные пункты ГАС находятся в Южном Судане и на сопредельных к Уганде территориях ДР Конго. Печальную известность приобрели массовыми похищениями детей, из которых вербуют боевиков. По идеологии организации, новое общество можно построить только из детей, не тронутых грехами современного мира.",Каким титулом именовался Джозеф Кони?,генерал-майор,0
323,"Теорема Адамара о степенном ряде (также теорема Коши — Адамара) — утверждение, которое даёт оценку радиуса сходимости степенных рядов для некоторых случаев. Названа в честь французских математиков Коши и Адамара. Теорема была опубликована Коши в 1821, но оставалась незамеченной пока Адамар не переоткрыл её. Адамар опубликовал результат в 1888 году. Он также включил его в докторскую диссертацию в 1892 году.",Кто опубликовал результат?,Адамар,0
324,"«Неизвестному британскому солдату во Франции» (англ. To the Unknown British Soldier in France) — картина ирландского художника Уильяма Орпена, написанная им в 1927 году. Изначально на данной работе должны были быть изображены делегаты Парижской мирной конференции, но разочаровавшись в высказанных там идеях политиков и военных деятелей, Орпен полностью переработал полотно, посвятив его забытым жертвам Первой мировой войны. В настоящее время картина находится в коллекции Имперского военного музея в Ламбете (Лондон, Великобритания).",Жертвам чего посвятил свою работу Уильям Орпен?,Первой мировой,0
325,"Писаревы — дворянский род. При подаче документов (24 декабря 1685) для внесения рода в Бархатную книгу, была предоставлена родословная роспись Писаревых, жалованные грамоты на поместья в Коломенском уезде: Василия II Семёну Писареву на село Приданое (1441), подтвердительная грамота на данное село Ивана III (1464) и пожалование Ивана III Захару, Дмитрию, Брюку, Фёдору и Ивану - детям Семёна Писаря на село Захарьинское с подтверждением Василия III (1510), жалованные вотчинные грамоты: Фёдору Семёновичу Писареву на его вотчину деревню Козье (1522) и Ивану Семёновичу Писареву на его вотчину деревню Мальцевское в Городском стане Коломенского уезда (1522).",Кому было подтверждено право на родовое поместье в 1614 году?,Ивану III,0
326,"Video Warrior Laserion (яп. ビデオ戦士レザリオン Бидэо Сэнси Рэдзарион, Видео-воин Лазарион) — японский аниме-сериал, выпущенный студией Toei Animation. Транслировался по телеканалу TBS TV с 4 марта 1984 года по 3 февраля 1985 года. Всего было выпущено 45 серий аниме. Сериал был дублирован на испанском и итальянском языках.",Какой язык был переведен для показа сериала?,Английский.,1
327,"Референдумы в Швейцарии проходили 2 июня и 13 октября 1918 года. Июньский референдум был посвящён введению прямого федерального налога, который в результате был отклонён как большинством избирателей, так и большинством кантонов. В октябре проводился референдум по введению пропорционального представительства в Национальном совете. Подобное предложение было ранее дважды отклонено в 1900 и 1910 годах. На этот раз система пропорционального представительства была одобрена 66,8% голосов и большинством кантонов. Начиная с выборов 1919 года выборы в стране проводятся по этой системе.",Где проходили референдумы в июне и сентябре 1918 года?,В Швейцарии,0
328,"Ро́берт Ло́уренс Стайн (англ. Robert Lawrence Stine, род. 8 октября 1943 года, Колумбус, Огайо, США), известный как Р. Л. Стайн или Боб Стайн — американский писатель, актёр и продюсер, автор «литературы ужасов», ориентированной на детскую и подростковую аудиторию. Его называют Стивеном Кингом детской литературы. Творчество Роберта Стайна берёт своё начало в 1960-х — 1970-х годах. Стайн писал в журналах и газетах, работал в типографии, зарабатывая таким образом на жизнь. «Ужастики» — цикл его небольших книг для детей. Они довольно быстро распространялись по всему миру, принося Роберту Стайну деньги и славу. Позже Стайн издал серию книг «Goosebumps HorrorLand», не издававшуюся на русском языке. В России книги Стайна в конце 1990-х — начале 2000-х годов выпускало издательство «Росмэн» под названием «Ужастики». В дальнейшем издательство «АСТ» выпустила под этим же названием другую более взрослую серию Стайна «Улица Страха».",В каких периодических изданиях он писал?,в журнале и газете,0
329,"Лаймква́т (лат. Citrus ×floridana, англ. limequat) — растение из рода Цитрус (Citrus) семейства Рутовые (Rutaceae), представляющее собой гибрид лайма (Citrus aurantiifolia) и кумквата (Citrus japonica). Ранее лаймкват выделялся также в отдельный гибридный род × Citrofortunella. Гибрид выведен в 1909 году. Известно три разновидности — 'Eustis', 'Lakeland' и 'Tavares'.",Сколько разновидностей цитрусовых существует?,три,0
330,"«Федра» (фр. Phèdre) — трагедия в пяти актах, произведение французского драматурга Жана Расина. Пьеса, изначально названная «Федра и Ипполит» (фр. Phèdre et Hippolyte), написана александрийским стихом. Премьера состоялась в 1677 году. «Федра» считается вершиной творчества Расина..",У какой пьесы Расина много названий?,Федра,0
331,"Conn-Selmer, Inc. (рус. консэ́лмер) — американская корпорация, занимающаяся производством духовых, ударных, струнных музыкальных инструментов и принадлежностей к ним. Корпорация Conn-Selmer, Inc. является дочерним предприятием корпорации Steinway Musical Instruments, Inc.",Какую продукцию производит концерн?,музыкальные инструменты,0
332,"Риша́т Мукимович Абду́ллин (тат. Ришат Мөкыймь улы Абдуллин; 1 (14) марта 1916, Усть-Каменогорск — 12 ноября 1988, Алма-Ата) — казахский, советский оперный певец (баритон). Народный артист СССР (1967).",В каком году он получил звание Народного артиста?,1970,1
333,"Великий князь Николай Константинович (2 [14] февраля 1850, Санкт-Петербург — 14 [27] января 1918, Ташкент) — первый ребёнок великого князя Константина Николаевича, младшего брата российского императора Александра II. Внук Николая I, двоюродный брат Александра III. 14 (27) января 1918 года скончался на даче под Ташкентом от воспаления лёгких.",Где жил великий князь Константин Николаевич?,в Санкт-Петербурге,0
334,"«Полайн» (англ. Poline) — многоцелевой сухогруз, затонувший в Японском море в ночь в 3 на 4 сентября 2014 года.",Что случилось с судном?,Судно «Полайн» было захвачено пиратами и отбуксировано в неизвестном направлении.,1
335,"Маркус Бейкер (англ. Marcus Baker) — высочайший пик Чугачских гор на Аляске. Гора расположена примерно в 121 км к востоку от Анкориджа. Это гора хорошо заметна издали, ввиду близости к побережью и находится всего в 19 км к северу от ледника Гарвард. Маркус Бейкер входит в число первых семидесяти пяти гор по относительной высоте вершины. Гора Маркус Бейкер первоначально называлась горой Сент-Агнес (англ. Mount Saint-Agnes). Позднее название было изменено, и сейчас пик носит имя картографа и геолога Маркуса Бейкера. 19 июня 1938 года гора была впервые покорена группой, которой руководил знаменитый исследователь Брэдфорд Уошберн; из-за плохих погодных условий восхождение заняло почти два месяца. Сегодня маршрут Уошберна — стандартный для альпинистов. Гора Маркус Бейкер имеет очень крутой подъём, потому покорить пик непросто. При попытке покорить гору погибли некоторые известные альпинисты, поскольку совершить восхождение во время бури практически невозможно, а погода в этом районе меняется достаточно часто.",Что такое вершина горы?,"Вершина горы — это её самая высокая точка, пик. Вершина может быть относительной или абсолютной высотой.

Относительная высота — это разница между высотой вершины и высотой, на которой начинается самый крутой склон.

Абсолютная высота — это высота вершины над уровнем моря.

В случае с горой Маркус Бейкер вершина — это самая высокая точка Чугачских гор на Аляске.",1
336,"Джон Ма́ркус «Скут» Макнэ́йри (англ. John Marcus «Scoot» McNairy; род. 11 ноября 1977) — американский актёр. Наибольшую известность ему принесли роли в фильмах «Монстры» (2010), «Операция „Арго“» (2012), «Ограбление казино» (2012), «Страна обетованная» (2012), «Исчезнувшая» (2014), «Бэтмен против Супермена: На заре справедливости» (2016).",Какие роли принёс ему наибольший успех?,"Джон Маркус «Скут» Макнэри известен своими ролями в фильмах «Монстры», «Операция „Арго“», «Ограбление казино», «Страна обетованная», «Исчезнувшая», «Бэтмен против Супермена: На заре справедливости».

Однако наибольшую известность ему принесли роли в фильмах «Операция „Арго“» и «Ограбление казино».",1
337,"Список университетов Швейцарии составлен на основе перечня высших учебных заведений, признанных или аккредитованных Конференцией ректоров университетов Швейцарии.Список включает 10 кантональных университетов, 2 федеральных института, 9 университетов прикладных наук, институты уровня университета, педагогические институты, высшие учебные заведения музыки и искусств, а также учреждения и программы, аккредитованные Конференцией университетов Швейцарии.",Сколько университетов включено в список университетов Швейцарии?,20,1
338,"Электросвя́зь — разновидность связи, способ передачи информации с помощью электромагнитных сигналов, например, посредством тока по металлическим кабелям, излучения в оптическом диапазоне (в атмосфере или по волоконно-оптическому кабелю), излучения в радиодиапазоне. Принцип электросвязи основан на преобразовании сигналов сообщения (звук, текст, оптическая информация) в первичные электрические сигналы. В свою очередь, первичные электрические сигналы при помощи передатчика преобразуются во вторичные электрические сигналы, характеристики которых хорошо согласуются с характеристиками линии связи. Далее посредством линии связи вторичные сигналы поступают на вход приёмника. В приёмном устройстве вторичные сигналы обратно преобразуются в сигналы сообщения в виде звука, оптической или текстовой информации. В конце XIX века, с новаторских открытий Николы Теслы и Александра Попова, началось развитие беспроводной связи. Другими первопроходцами в данной области являются: Чарльз Уитстон и Самюэл Морзе (телеграф), Александр Грэхем Белл (телефон), Эдвин Армстронг и Ли де Форест (радио), Джон Бэрд, Владимир Зворыкин, Семён Катаев (телевидение). Количество переданной информации через двухсторонние мировые сети постоянно возрастает. Под руководством Мартина Гилберта, учеными университета Южной Калифорнии были проведены исследования и анализ хранения, обработки и передачи информации за 1986—2007 года. В частности было выявлено, что суммарные запасы данных всего человечества оценивались в тот период примерно в 295 эксабайт. В настоящее время цифровое хранение информации доминирует над аналоговым, хотя до 2002 года человечество хранило информацию в основном в аналоговой форме. В 2007 году посредством радио и телевидения было передано примерно 1,9 зеттабайт информации (что эквивалентно прочтению каждым человеком примерно 174 газет в день), а персональное общение людей достигло примерно 65 эксабайт (соответствует пересказу каждым человеком содержания примерно 6 газет в день). С учётом данного роста, электросвязь играет всё большую роль ",Какая наука занимается изучением свойств электромагнитных волн?,электросвязь,0
339,"Эли́забет Энн «Ли́ззи» Вела́скес (англ. Elizabeth Ann ""Lizzie"" Velásquez [ˈlɪzi vəˈlæskɛz]; род. 13 марта 1989, Остин, Техас) — американский блогер, писательница, оратор-мотиватор. Носительница редчайшей болезни — синдрома Видемана — Раутенштрауха. Кроме неё этим синдромом болеют только один или два человека в мире.",Кто такая Эли́ЗАбет Энн,писательница,0
340,"Dziwny jest ten świat (в переводе с польск. — «Странная штука, этот мир») — первый сольный альбом польского музыканта Чеслава Немена, выпущенный в 1967 году. 20 декабря 1968 года получил статус золотого (продано 160 000 копий). Назван по главной композиции — песне «Dziwny jest ten świat», с которой Немен впервые выступил и триумфально победил на фестивале песни в Ополе в июне 1967 года. Нетипичная для социалистической Польши того времени чувственная и смелая манера исполнения сразу же покорила и зрителей и жюри конкурса. Песня стала чрезвычайно популярна в Польше и позже в Европе. В 1969 году прозвучала в итальянском варианте под названием «Io senza lei».",В каком году прошел конкурс песни?,В 1969 году.,1
